Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
95	-55503.926	45381.508	4650.381	-151184.38	800.0	-871.4549	0.00014469646	-871.45447	-871.45483	768000	-3.2916667e-08	144877460.0	-0.051864874	-67696.0	3.2365298	0.012707763	0.2755	79.0	823.9292552471161
96	-83719.836	60013.938	-4970.256	-208527.06	800.0	-877.2531	0.00023875592	-877.2526	-877.2534	776000	-2.4080277e-08	302228600.0	-0.048099276	-164224.0	3.2164319	0.010715075	0.264625	79.0	832.7520608901978
97	-85445.25	113606.766	11461.363	-362330.97	800.0	-886.08405	0.000115562536	-886.0834	-886.0843	784000	1.3500452e-08	409704540.0	-0.045771714	-164000.0	3.1710904	0.004036078	0.250625	79.0	841.559956073761
98	-104853.64	81472.37	5964.2725	-285329.84	800.0	-895.1475	0.00011236935	-895.14685	-895.1477	792000	1.475215e-08	476266940.0	-0.04582317	-269632.0	3.1531696	0.0111756185	0.2475	79.0	850.5929510593414
99	-109934.734	117846.08	8382.367	-433857.06	800.0	-906.59564	0.00015436586	-906.59503	-906.5956	800000	-4.708767e-08	556648000.0	-0.051718097	-304832.0	3.167557	0.014340942	0.26525	69.0	859.1990191936493
100	-45236.445	33001.062	9505.614	-106372.01	800.0	-918.8009	0.00015849763	-918.8007	-918.8011	808000	2.9116869e-08	102588270.0	-0.052761853	-46056.0	3.1645625	0.01269184	0.274875	79.0	868.5429952144623
101	-85127.93	79894.05	8357.874	-240456.55	800.0	-924.04285	0.00012178387	-924.0421	-924.0428	816000	6.9737434e-09	329170140.0	-0.04738909	-165792.0	3.1273646	0.0090172915	0.259125	79.0	877.379429101944
102	-57290.914	65669.89	30494.611	-198701.22	800.0	-932.9221	9.970659e-05	-932.9214	-932.9223	824000	-7.019937e-08	184650510.0	-0.029422743	-74784.0	3.133128	0.015232303	0.22025	16.0	884.5775625705719
103	-49742.344	73175.86	18320.266	-233327.83	800.0	-939.32513	9.131592e-05	-939.3236	-939.32513	832000	-5.8025122e-08	192459150.0	-0.04823232	-56576.0	3.1617827	0.013062949	0.265125	79.0	893.5782034397125
104	-62153.95	42025.84	-15664.046	-173020.28	800.0	-944.8349	0.00010138314	-944.8343	-944.83484	840000	-1.2502074e-08	202551460.0	-0.024339098	-96240.0	3.1417572	0.01554718	0.19425	14.0	900.840252161026
105	-70848.33	60234.758	6279.56	-195275.17	800.0	-951.959	2.3688011e-05	-951.9586	-951.9591	848000	-2.3469329e-09	300625760.0	-0.048479673	-127392.0	3.1336155	0.0060758116	0.27075	79.0	909.6663587093353
106	-92620.6	95308.46	19071.236	-231158.2	800.0	-960.2804	6.307992e-05	-960.2799	-960.2805	856000	-7.629395e-09	419785060.0	-0.04970058	-223968.0	3.1260111	0.007661255	0.2685	79.0	918.4736640453339
107	-42785.37	47689.83	30807.793	-115955.62	800.0	-971.2469	0.00013818938	-971.2462	-971.2468	864000	-1.2040139e-08	143854100.0	-0.056050707	-43472.0	3.1155498	0.012654432	0.286375	79.0	927.2659912109375
108	-109138.52	67031.66	-855.1839	-229460.34	800.0	-976.5724	0.00016472992	-976.57196	-976.5726	872000	-2.3961068e-08	384321900.0	-0.054544885	-323584.0	3.0969632	0.011001888	0.2805	79.0	936.3126993179321
109	-59288.55	64484.418	7544.051	-234663.67	800.0	-989.4834	0.00012242647	-989.4828	-989.4834	880000	-3.428012e-08	227418540.0	-0.052642636	-97600.0	3.0930743	0.010991178	0.284875	79.0	945.3410668373108
110	-36984.926	52197.54	13929.349	-168998.25	800.0	-997.24286	7.728844e-05	-997.24225	-997.243	888000	2.1234154e-08	154477920.0	-0.038367353	-31920.0	3.0660806	0.015087095	0.21875	41.0	953.5562748908997
111	-39725.82	52123.92	52772.188	-122793.38	800.0	-1001.6861	8.6937616e-05	-1001.68536	-1001.68616	896000	1.758337e-09	127316184.0	-0.048703488	-34608.0	3.0743477	0.010257507	0.279875	79.0	962.3678736686707
112	-70807.61	77598.72	2363.4292	-256129.25	800.0	-1006.1885	9.744622e-05	-1006.18774	-1006.1886	904000	2.7269126e-08	346804000.0	-0.046559434	-122720.0	3.0894976	0.0065422277	0.274625	79.0	971.0807855129242
113	-89995.164	64293.402	960.3327	-219585.03	800.0	-1014.55273	7.636106e-05	-1014.55133	-1014.5528	912000	3.7267803e-08	345448830.0	-0.02624464	-228160.0	3.0767994	0.015924485	0.209	15.0	978.2457320690155
114	-62738.633	60489.258	-229.35431	-187249.89	800.0	-1026.1001	9.313613e-05	-1026.0995	-1026.1002	920000	-1.9438565e-08	292809800.0	-0.0059200665	-109920.0	3.0585778	0.013783829	0.1805	2.0	985.0921013355255
